Package,Built
askpass,3.6.0
assertthat,3.6.0
backports,3.6.0
base64enc,3.6.0
BH,3.6.0
broom,3.6.2
callr,3.6.2
cellranger,3.6.0
cli,3.6.0
clipr,3.6.0
clisymbols,3.6.0
colorspace,3.6.0
crayon,3.6.0
curl,3.6.0
data.table,3.6.0
DBI,3.6.0
dbplyr,3.6.0
desc,3.6.0
digest,3.6.0
dplyr,3.6.0
ellipsis,3.6.0
evaluate,3.6.0
fansi,3.6.0
farver,3.6.0
forcats,3.6.0
fs,3.6.0
generics,3.6.0
ggplot2,3.6.0
gh,3.6.2
git2r,3.6.0
glue,3.6.0
gtable,3.6.0
haven,3.6.0
here,3.6.0
highr,3.6.0
hms,3.6.0
htmltools,3.6.0
httr,3.6.0
ini,3.6.0
jsonlite,3.6.0
knitr,3.6.0
labeling,3.6.0
lazyeval,3.6.0
lifecycle,3.6.0
lubridate,3.6.0
magrittr,3.6.0
markdown,3.6.0
mime,3.6.0
modelr,3.6.0
munsell,3.6.0
openssl,3.6.0
pillar,3.6.0
pkgconfig,3.6.0
plogr,3.6.0
plyr,3.6.0
prettyunits,3.6.2
processx,3.6.0
progress,3.6.0
ps,3.6.0
purrr,3.6.0
R6,3.6.0
RColorBrewer,3.6.0
Rcpp,3.6.0
readr,3.6.0
readxl,3.6.0
rematch,3.6.0
reprex,3.6.0
reshape2,3.6.0
rlang,3.6.2
rmarkdown,3.6.0
rprojroot,3.6.0
rstudioapi,3.6.0
rvest,3.6.0
scales,3.6.0
selectr,3.6.0
stringi,3.6.0
stringr,3.6.0
sys,3.6.0
tibble,3.6.0
tidyr,3.6.2
tidyselect,3.6.0
tidyverse,3.6.0
tinytex,3.6.0
usethis,3.6.0
utf8,3.6.0
vctrs,3.6.2
viridisLite,3.6.0
whisker,3.6.0
withr,3.6.0
xfun,3.6.0
xml2,3.6.0
yaml,3.6.0
